Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Regional Trail Grant Program,Minnesota DNR,Recurring,"2026 deadline was March 31, 2026",Minnesota,,,,,,Counties; cities; townships,Mixed,Grant,regional trails; statewide-significant trails; cultural resources,Funds destination-scale trails that can anchor rural visitor economies.,"$5,000 to $300,000",25% non-state cash match,https://www.dnr.state.mn.us/grants/recreation/trails_regional.html,2026-06-09,RERC-FND-0229
Funding,MS Delta Cultural Heritage Grants,Mississippi Delta National Heritage Area,Cycle closed,"The 2026 application deadline was June 12, 2026.",Mississippi,,,,,,Organizations with eligible Delta heritage projects,Implementation,Grant,"Delta heritage, culture, river landscapes, tourism","Funds heritage tourism projects tied to river, land, blues, civil rights, and Delta community identity.","Up to $25,000",Match required; nonfederal match allowed,https://www.msdeltaheritage.com/grants,2026-07-13,RERC-FND-0233
Funding,Community Heritage Preservation Grant and Historic Site Preservation Grant,Mississippi Department of Archives and History,Recurring,Annual board award cycles,Mississippi,,,,,,Certified Local Government communities and eligible historic-property sponsors,Mixed,Grant,"historic preservation, heritage tourism, downtown assets","Preserves courthouse, school, and historic-site assets that can serve heritage tourism and downtown revitalization.",Varies; January 2026 awards totaled nearly $3M for Community Heritage Preservation,See program materials,https://www.mdah.ms.gov/historic-preservation/preservation-planning-development,2026-06-09,RERC-FND-0232
Funding,Mississippi Tourism Rebate Program,Mississippi Development Authority,Open when checked,"Authority extended through June 30, 2027",Mississippi,,,,,,Qualified new tourism-oriented enterprises,Mixed,Rebate,tourism attractions; marinas; outdoor adventure parks; museums; resorts,"Can support private recreation attractions, marinas, museums, and destination projects.",Sales tax rebate up to 15 years; investment thresholds apply,Not a match program,https://mississippi.org/wp-content/uploads/tourism-rebate-program.pdf,2026-06-09,RERC-FND-0237
Funding,Mississippi Main Street Revitalization Grant Program,Mississippi Development Authority with Mississippi Main Street Association,Recurring,Funding was authorized in 2026; check with the program for the next application window.,Mississippi,,,,,,Main Street designated communities and eligible Main Street member organizations,Mixed,Grant,downtown revitalization; historic commercial districts; facade; public-private reinvestment,Helps recreation towns improve visitor-facing downtowns and historic districts.,"Up to $500,000 per eligible community",Guidelines control,https://www.msmainstreet.com/press-releases/details/governor_approves_10m_for_mississippi_main_street_revitalization_grant_program,2026-07-13,RERC-FND-0234
Funding,Community Grants Program,Mississippi Hills National Heritage Area,Recurring,"2026 deadline was January 30, 2026",Mississippi,,,,,,Eligible organizations in the heritage area,Mixed,Grant,"heritage tourism, culture, recreation, interpretation",Supports cultural and natural-resource tourism in northeast Mississippi communities.,Varies,See guidelines,https://mississippihills.org/grants,2026-06-09,RERC-FND-0231
Funding,Mississippi Outdoor Stewardship Trust Fund,Mississippi Outdoor Stewardship Trust Fund Board through DFA,Recurring,"Next application acceptance expected August 3 to September 18, 2026; program preparation begins July 1",Mississippi,,,,,,Counties; municipalities; state agencies; nongovernmental entities,Mixed,Grant,outdoor recreation; parks; trails; public water access; conservation; habitat,One of Mississippi's strongest direct fits for nature-based recreation and conservation.,Varies; 2025 awards ranged from small projects to multimillion-dollar awards,Project-specific; financial makeup scored,https://www.dfa.ms.gov/mostf-application,2026-06-09,RERC-FND-0235
Funding,TVA EnergyRight Business and Industry Incentives,Tennessee Valley Authority and local power companies,Open when checked,TVA fiscal year October to September; funding availability applies,Mississippi,,,,,,"Business, commercial, industrial, and government customers served by TVA or local power companies",Mixed,Rebate,"energy efficiency, industrial, commercial, government facilities",Helps public and private recreation-economy facilities cut energy costs and finance upgrades.,Up to 70% of material cost; maximum $3M per organization per TVA fiscal year,Not applicable,https://energyright.com/business-industry/incentives/applying-for-incentives,2026-06-09,RERC-FND-0238
Funding,BizSavers Business Energy Efficiency,Ameren Missouri,Open when checked,Ongoing,Missouri,,,,,,Ameren Missouri business customers,Mixed,Rebate,"HVAC, lighting, controls, custom projects, business efficiency",Recreation economy businesses can reinvest utility savings into operations and guest experience.,Measure-specific cash incentives,Customer pays remaining cost,https://www.ameren.com/bizee,2026-06-09,RERC-FND-0239
Funding,Community Foundation of the Ozarks Rural Vitality and Affiliate Grants,Community Foundation of the Ozarks,Open when checked,Multiple 2026 affiliate and competitive cycles,Missouri,,,,,,"501(c)(3) nonprofits and other IRS-approved entities such as governments, schools, and churches depending grant",Mixed,Grant,"rural vitality, community development, youth, local quality of life","Offers localized rural funding that can support trailside amenities, youth outdoor programs, downtown vitality, and community capacity.","Rural Vitality example: $209,631 awarded to 13 agencies; affiliate grants vary",Not stated,https://www.cfozarks.org/find-grants,2026-06-09,RERC-FND-0242
Funding,Missouri Arts Council Annual Grants,Missouri Arts Council,Recurring,"FY2027 final deadline was February 23, 2026; annual cycle recurring",Missouri,,,,,,Missouri nonprofits and eligible arts organizations,Mixed,Grant,arts; festivals; folk arts; multidisciplinary culture; education,Supports festivals and cultural programming that extend rural visitor stays.,Varies,Award cannot exceed 50% of total project expenses,https://missouriartscouncil.org/grants,2026-06-09,RERC-FND-0245
Funding,CDBG Competitive Cycle,Missouri Department of Economic Development,Open when checked,"May 4 to July 31, 2026",Missouri,,,,,,Non-entitlement communities,Construction,Grant,community facilities; infrastructure; demolition; public safety,"Can fund public facilities, infrastructure, and blight removal in recreation towns.","Up to $500,000 or $5,000 per benefiting household",Unsure,https://ded.mo.gov/programs/community/community-development-block-grants-competitive-cycle,2026-06-09,RERC-FND-0240
Funding,CDBG Downtown Revitalization,Missouri Department of Economic Development,Open when checked,Open year-round until funds exhausted,Missouri,,,,,,Non-entitlement cities and counties,Mixed,Grant,downtown revitalization; facades; code corrections; infrastructure,Directly improves visitor-facing historic downtowns and commercial districts.,"Up to $750,000 total; up to $75,000 per building",20% local public or private match,https://ded.mo.gov/programs/community/community-development-block-grants-economic-development,2026-06-09,RERC-FND-0241
Funding,Neighborhood Preservation Act,Missouri Department of Economic Development,Recurring,"2026 application period opened February 9; postmark deadline March 27, 2026",Missouri,,,,,,Eligible residential property owners and project applicants,Implementation,Tax Credit,"neighborhood revitalization, housing rehab, historic neighborhoods",Helps stabilize older neighborhoods and visitor-facing community fabric near rural downtown assets.,Tax credit varies by qualified rehab,Private investment required,https://ded.mo.gov/programs/community/neighborhood-preservation-act-npa,2026-06-09,RERC-FND-0247
Funding,Scrap Tire Surface Material Grants,Missouri Department of Natural Resources,Cycle closed,"2026 application period closed March 31, 2026",Missouri,,,,,,"Eligible schools, parks, nonprofit, and public facility sponsors per application",Mixed,Grant,"playgrounds, trails, surfacing, recycled materials","Can fund trail, playground, and recreation surfacing with recycled tire material.",Available funds announced annually,None,https://dnr.mo.gov/waste-recycling/financial-assistance-opportunities/scrap-tire-surface-material-grant,2026-06-09,RERC-FND-0647
Funding,Energy Efficiency and Conservation Block Grant Program,Missouri Department of Natural Resources Division of Energy,Available,2026 program cycle; verify application date,Missouri,,,,,,Cities and counties not eligible for direct federal formula funds,Implementation,Grant,energy efficiency; emissions reduction; municipal energy projects,Helps rural communities improve energy performance of visitor-serving public assets.,Up to $2.36 million statewide available to eligible cities and counties,None,https://dnr.mo.gov/energy/financial-assistance-opportunities/efficiency-conservation-block-grant,2026-06-09,RERC-FND-0646
Funding,Energy Loan Program,Missouri Department of Natural Resources Division of Energy,Open when checked,Revolving program; no fixed grant deadline listed,Missouri,,,,,,Local governments; public schools; colleges; public airports; water and wastewater facilities; nonprofit hospitals,Implementation,Loan,energy efficiency; renewable energy; municipal facilities; cost savings,"Can lower operating costs for recreation centers, public buildings, airports, and water facilities.",Varies by loan fund availability,Loan repayment; not a match grant,https://dnr.mo.gov/energy/what-were-doing/energy-loan-program,2026-06-09,RERC-FND-0243
Funding,Transportation Alternatives Program,Missouri Department of Transportation,Recurring,Competitive every two years in even years,Missouri,,,,,,Local public agencies,Construction,Grant,bike-ped; trails; safe routes; scenic byways; transportation alternatives,"Funds bike-ped and trail links between downtowns, parks, schools, and visitor assets.",Varies by allocation,20% minimum local match; up to 80% federal reimbursement,https://www.modot.org/transportation-alternatives-program-tap,2026-06-09,RERC-FND-0249
Funding,Missouri Humanities Grants,Missouri Humanities,Recurring,Multiple deadlines; notifications six weeks after deadline,Missouri,,,,,,Nonprofits and public humanities partners,Implementation,Grant,heritage; veterans; literacy; film; public humanities,"Funds interpretation, local history, and heritage tourism programming.",Mini and Major grants; amount varies,Unsure,https://mohumanities.org/grants,2026-06-09,RERC-FND-0246
